plot;point_x;point_y;d_left;d_down
13;0;1;0;9,7
13;0;2;0;10,2
13;0;3;0;10,1
13;0;4;0;10
13;0;5;0;10
13;0;6;0;10,1
13;0;7;0;10
13;0;8;0;9,9
13;0;9;0;10,2
13;0;10;0;10
13;1;0;9,5;0
13;1;1;8,8;9,6
13;1;2;9,3;10
13;1;3;9,1;9,9
13;1;4;9,5;10
13;1;5;8,8;9,9
13;1;6;8,3;10
13;1;7;9,3;9,9
13;1;8;10,2;10,3
13;1;9;9,8;10,1
13;1;10;9,9;10,1
13;2;0;10,5;0
13;2;1;10,5;9
13;2;2;9,9;10
13;2;3;10,1;10,1
13;2;4;9,9;10
13;2;5;9,8;10,2
13;2;6;9,9;10
13;2;7;10;10
13;2;8;10,1;10,2
13;2;9;9,8;9,9
13;2;10;10;10,2
13;3;0;10,6;0
13;3;1;10,6;9
13;3;2;8,5;9,5
13;3;3;9,3;10,1
13;3;4;9,6;9,9
13;3;5;10,1;9,7
13;3;6;9,7;11
13;3;7;10,3;10,1
13;3;8;10,3;10,2
13;3;9;9,9;10,3
13;3;10;9,6;9,8
13;4;0;9,4;0
13;4;1;9,4;9,9
13;4;2;10;10,5
13;4;3;9,9;9,5
13;4;4;9,8;10
13;4;5;9,7;10,2
13;4;6;9,8;9,9
13;4;7;10,1;9,8
13;4;8;10,1;10,3
13;4;9;9,9;9,9
13;4;10;10,1;10
13;5;0;10,4;0
13;5;1;10,4;10,3
13;5;2;10;9,6
13;5;3;10;9,9
13;5;4;10;10,1
13;5;5;9,8;10,1
13;5;6;9,9;10,2
13;5;7;9,6;9,9
13;5;8;9,9;9,4
13;5;9;10;9,8
13;5;10;10;9,7
13;6;0;10,4;0
13;6;1;10,4;9,3
13;6;2;10,2;9,6
13;6;3;10,3;9,6
13;6;4;9,6;9,7
13;6;5;10,3;9,9
13;6;6;10,1;10,1
13;6;7;10;10,1
13;6;8;9,9;10,2
13;6;9;9,9;9,9
13;6;10;10;9,7
13;7;0;10,3;0
13;7;1;10,3;9,9
13;7;2;9,6;9,9
13;7;3;10,2;9,3
13;7;4;9,8;9,8
13;7;5;10,7;9,9
13;7;6;10,3;10
13;7;7;9,8;10,1
13;7;8;10,2;10,3
13;7;9;9,7;9,6
13;7;10;9,9;9,6
13;8;0;10;0
13;8;1;10;9,3
13;8;2;9,9;10,4
13;8;3;9,9;10,4
13;8;4;10;10,1
13;8;5;10;10,1
13;8;6;10;9,9
13;8;7;9,8;10,1
13;8;8;9,8;10,6
13;8;9;9,9;10,2
13;8;10;10;9,9
13;9;0;10,8;0
13;9;1;10,8;10,5
13;9;2;10,3;10,4
13;9;3;10,2;10
13;9;4;10;9,9
13;9;5;9,6;9,9
13;9;6;10,1;10,1
13;9;7;9,7;10,7
13;9;8;10,3;8,9
13;9;9;9,9;10
13;9;10;10,1;10
13;10;0;9,8;0
13;10;1;9,8;10,2
13;10;2;10,5;9,3
13;10;3;9,8;9,8
13;10;4;9,8;9,8
13;10;5;9,8;9,6
13;10;6;9,8;9,8
13;10;7;10,2;10
13;10;8;10,2;10
13;10;9;10;10
13;10;10;9,9;10
18;0;1;0;10
18;0;2;0;10,3
18;0;3;0;10,1
18;0;4;0;9,7
18;0;5;0;9,7
18;0;6;0;10
18;0;7;0;9,7
18;0;8;0;10,8
18;0;9;0;10,2
18;0;10;0;10,3
18;1;0;11,7;0
18;1;1;10,7;10,2
18;1;2;11,3;10
18;1;3;11,4;10,1
18;1;4;10,5;10,3
18;1;5;10,7;10,3
18;1;6;11,3;10
18;1;7;11;10,6
18;1;8;10,1;10,1
18;1;9;10;10,3
18;1;10;9,6;10
18;2;0;10,4;0
18;2;1;10,4;9,9
18;2;2;10,3;9,3
18;2;3;9,1;9,8
18;2;4;10,2;10,1
18;2;5;11,4;10,5
18;2;6;10,5;10,1
18;2;7;10;10,3
18;2;8;10,2;9,7
18;2;9;10,1;10
18;2;10;10,1;10
18;3;0;10,4;0
18;3;1;10,4;10,4
18;3;2;10,4;10,1
18;3;3;9,4;10,2
18;3;4;9,4;10,2
18;3;5;11;9,7
18;3;6;10,2;9,8
18;3;7;10;10,5
18;3;8;10,1;9,7
18;3;9;10,3;10,2
18;3;10;10,1;9,9
18;4;0;9,8;0
18;4;1;9,8;10,1
18;4;2;10;9,7
18;4;3;10;10,6
18;4;4;10;9,7
18;4;5;10;10,1
18;4;6;10;9,9
18;4;7;10;10,1
18;4;8;10,2;10
18;4;9;10,1;9,8
18;4;10;10,2;10,4
18;5;0;9,7;0
18;5;1;9,7;10,2
18;5;2;9,4;9,9
18;5;3;9,4;9,9
18;5;4;10,1;10,5
18;5;5;9,6;10,2
18;5;6;9,4;10
18;5;7;9,8;9,8
18;5;8;10;10,1
18;5;9;10;10,2
18;5;10;9,9;10,2
18;6;0;9,7;0
18;6;1;9,7;11,4
18;6;2;10,2;9,8
18;6;3;9,5;10,2
18;6;4;9,7;9,6
18;6;5;9,9;9,9
18;6;6;10,2;10,1
18;6;7;9,8;10,1
18;6;8;9,9;9,9
18;6;9;9,9;9,9
18;6;10;9,9;9,9
18;7;0;9,7;0
18;7;1;9,7;9,9
18;7;2;9,8;10
18;7;3;10,3;10,1
18;7;4;10,1;9,7
18;7;5;10,1;10
18;7;6;9,8;10,1
18;7;7;10,1;10,1
18;7;8;9,9;10,1
18;7;9;10,2;10,1
18;7;10;9,6;9,7
18;8;0;10;0
18;8;1;10;9,7
18;8;2;9,7;10
18;8;3;9,5;9,8
18;8;4;9,9;10,27
18;8;5;9,9;10,2
18;8;6;10,1;9,9
18;8;7;9,9;10,1
18;8;8;10,2;9,6
18;8;9;10,1;9,8
18;8;10;9,9;9,8
18;9;0;10;0
18;9;1;10;10,08
18;9;2;9,8;10
18;9;3;10;9,98
18;9;4;10;10
18;9;5;9,9;10
18;9;6;9,9;10,1
18;9;7;10,1;10,2
18;9;8;10,3;10
18;9;9;10,1;9,5
18;9;10;9,9;10,3
18;10;0;9,9;0
18;10;1;9,9;10,2
18;10;2;10;10
18;10;3;10;9,7
18;10;4;9,9;9,8
18;10;5;9,9;10
18;10;6;10;9,9
18;10;7;10,1;10
18;10;8;9,5;10
18;10;9;9,6;10,7
18;10;10;10,2;10
23;0;1;0;11,3
23;0;2;0;9,7
23;0;3;0;10,3
23;0;4;0;10,1
23;0;5;0;9,8
23;0;6;0;9,6
23;0;7;0;9,9
23;0;8;0;10,1
23;0;9;0;10
23;0;10;0;10,4
23;1;0;9,1;0
23;1;1;9,3;10,1
23;1;2;9,9;10,6
23;1;3;10,6;9,8
23;1;4;10,3;10,4
23;1;5;9,2;9,9
23;1;6;9,4;10,2
23;1;7;9,1;10,1
23;1;8;9,7;9,7
23;1;9;10;10
23;1;10;11,5;10,3
23;2;0;9,6;0
23;2;1;9,6;9,6
23;2;2;9,8;10,3
23;2;3;9,8;10,3
23;2;4;9,5;10
23;2;5;10;9,8
23;2;6;9,7;10,4
23;2;7;9,7;9,8
23;2;8;9,7;9,7
23;2;9;9,6;9,8
23;2;10;10,3;10,1
23;3;0;10,4;0
23;3;1;10,4;9,9
23;3;2;10,1;10
23;3;3;9,8;10,3
23;3;4;9,9;10,3
23;3;5;10,6;9,8
23;3;6;9,6;10,1
23;3;7;9,9;10,2
23;3;8;10,3;9,6
23;3;9;9,8;10
23;3;10;10,2;10,1
23;4;0;10;0
23;4;1;10;11,2
23;4;2;10;9,6
23;4;3;10,4;10
23;4;4;10;9,9
23;4;5;9,6;9,8
23;4;6;9,9;9,8
23;4;7;10;9,9
23;4;8;10,1;9,9
23;4;9;10,2;9,8
23;4;10;10;10,2
23;5;0;9,8;0
23;5;1;9,8;8,2
23;5;2;10;10,3
23;5;3;10;9,8
23;5;4;9,9;9,1
23;5;5;9,8;9,6
23;5;6;10,3;10,2
23;5;7;10,2;10,5
23;5;8;9,7;9,9
23;5;9;10;9,8
23;5;10;10;9,9
23;6;0;9,6;0
23;6;1;9,6;9
23;6;2;9,9;9,3
23;6;3;10,1;10
23;6;4;10,4;9,5
23;6;5;10,1;10
23;6;6;10,1;9,8
23;6;7;9,6;10,2
23;6;8;9,9;9,8
23;6;9;10,1;9,9
23;6;10;9,9;10
23;7;0;9,8;0
23;7;1;9,8;9,4
23;7;2;9,8;10,5
23;7;3;9,9;9,2
23;7;4;9,6;10
23;7;5;9,6;9,6
23;7;6;9,8;9,9
23;7;7;9,7;9,9
23;7;8;9,8;9,9
23;7;9;9,8;10,4
23;7;10;9,8;8,9
23;8;0;10,5;0
23;8;1;10,5;10,1
23;8;2;10;10,3
23;8;3;10;10
23;8;4;9,6;9,9
23;8;5;9,8;9,7
23;8;6;10;9,4
23;8;7;10;9,6
23;8;8;10,3;9,7
23;8;9;9,5;9,4
23;8;10;9,4;10,5
23;9;0;9,6;0
23;9;1;9,6;10,2
23;9;2;10;9,8
23;9;3;10,5;9,7
23;9;4;10,3;9,6
23;9;5;9,8;9,8
23;9;6;10;9,5
23;9;7;9,7;9,7
23;9;8;9,7;9,9
23;9;9;9,1;10,3
23;9;10;9,6;9,8
23;10;0;10,1;0
23;10;1;10,1;11,2
23;10;2;10,1;9,7
23;10;3;10,3;9,8
23;10;4;10,2;10,1
23;10;5;9,7;9,7
23;10;6;10;10
23;10;7;10,1;9,9
23;10;8;9,8;10,2
23;10;9;10,2;9,7
23;10;10;9,9;9,9
24;0;1;0;10,9
24;0;2;0;9,6
24;0;3;0;9,4
24;0;4;0;10,2
24;0;5;0;9,9
24;0;6;0;10
24;0;7;0;9,7
24;0;8;0;9,9
24;0;9;0;9,9
24;0;10;0;10,1
24;1;0;9,6;0
24;1;1;9,9;10,7
24;1;2;10,5;10,5
24;1;3;9,5;9,6
24;1;4;10,8;9,6
24;1;5;10,7;10,8
24;1;6;9,7;9,3
24;1;7;10;10,1
24;1;8;10,4;9,5
24;1;9;10,2;9,7
24;1;10;10,2;10,7
24;2;0;9,9;0
24;2;1;9,9;10,2
24;2;2;9,9;9,8
24;2;3;9,8;10,1
24;2;4;10;9,8
24;2;5;10,1;10
24;2;6;9,8;9,8
24;2;7;10,4;10,1
24;2;8;9,8;9,8
24;2;9;9,8;9,7
24;2;10;9,8;10,1
24;3;0;10,6;0
24;3;1;10,6;11
24;3;2;9,9;10
24;3;3;10,3;9,8
24;3;4;10,1;9,1
24;3;5;10,2;10,2
24;3;6;10;10
24;3;7;9,9;9,9
24;3;8;10;9,8
24;3;9;10;10
24;3;10;10,3;9,7
24;4;0;10,9;0
24;4;1;10,9;11,6
24;4;2;9,8;10
24;4;3;9,6;9,8
24;4;4;10,1;9,8
24;4;5;9,7;9,9
24;4;6;9,8;9,7
24;4;7;10;9,3
24;4;8;9,7;9,6
24;4;9;9,3;9,9
24;4;10;9,7;9,3
24;5;0;10,2;0
24;5;1;10,2;10,2
24;5;2;9,9;9,2
24;5;3;9,8;9,8
24;5;4;9,8;9,7
24;5;5;10;9,6
24;5;6;9,7;9,7
24;5;7;9,8;10,3
24;5;8;9,8;10,3
24;5;9;10,1;10
24;5;10;10;9,9
24;6;0;9,9;0
24;6;1;9,9;10,2
24;6;2;10,3;9,8
24;6;3;10,1;9,8
24;6;4;10;9,4
24;6;5;10;10,1
24;6;6;9,9;10,5
24;6;7;10,4;10
24;6;8;9,7;9,8
24;6;9;9,7;9,6
24;6;10;9,8;10,1
24;7;0;9,9;0
24;7;1;9,9;10
24;7;2;10,2;9,4
24;7;3;9,4;9,9
24;7;4;9,4;8,9
24;7;5;10,7;10,4
24;7;6;9,6;10,3
24;7;7;9,6;10,4
24;7;8;9,8;9,9
24;7;9;9,9;10
24;7;10;9,8;9,6
24;8;0;10,1;0
24;8;1;10,1;9,5
24;8;2;9,7;10
24;8;3;10;9,7
24;8;4;10,1;9,8
24;8;5;9,5;10,4
24;8;6;9,9;10,1
24;8;7;10,2;10
24;8;8;9,7;10
24;8;9;10,2;10,2
24;8;10;10;10,1
24;9;0;10;0
24;9;1;10;9
24;9;2;9,7;9,8
24;9;3;10,1;10,1
24;9;4;9,4;9,8
24;9;5;9,3;10,1
24;9;6;10;10,1
24;9;7;9,8;10,1
24;9;8;10;10,2
24;9;9;10,2;10,2
24;9;10;10,2;10
24;10;0;9,9;0
24;10;1;9,9;9
24;10;2;9,8;10,1
24;10;3;9,9;9,9
24;10;4;10;10
24;10;5;9,9;10,2
24;10;6;10;10,2
24;10;7;9,8;10
24;10;8;9,8;9,8
24;10;9;9,7;10,1
24;10;10;9,9;10,3
